2026/05/25 13:12:31:410  [Info]  Loading tunnel preference...
2026/05/25 13:12:31:411  [Base]  Load 1689 Fake IPs
2026/05/25 13:12:31:423  [Base]  iPhone14,3 16.6.1 3.3.9(945)
2026/05/25 13:12:31:475  [Base]  Load 1689 Fake IPs
2026/05/25 13:12:31:475  [Base]  Net Environment:蜂窝数据 IP:10.7.201.101 Proxy Mode:TUN Only mitm h2:true rewrite:true script:true dns fallback:true flowModel:1 no default route:false ipmode:0
2026/05/25 13:12:31:511  [Base]  Load 6147 rules. 31 scripts. 304 rewrites.
2026/05/25 13:12:31:511  [Base]  Memory Usage:4.20M
2026/05/25 13:12:31:511  [Base]  MITM enable: Check Cert.
2026/05/25 13:13:10:016  [Warn]  [DOH3] Query www.yaohuo.me from https://doh.pub/dns-query timeout.
2026/05/25 13:13:10:053  [Warn]  [DOQ][0] Query yaohuo.me from quic://dns.alidns.com timeout.
2026/05/25 13:13:10:053  [Warn]  [DOH3] Query yaohuo.me from https://doh.pub/dns-query timeout.
2026/05/25 13:13:10:053  [Warn]  [DOQ][0] Query yaohuo.me from quic://dns.pub timeout.
2026/05/25 13:13:12:006  [Warn]  [046cc67baeda5d15db033f6d3dea2c94_1779685987002] DOQ handshake to quic://dns.alidns.com failed. Error:QUIC Handshake Timeout
2026/05/25 13:13:12:011  [Warn]  [a7714ee17e924849fa0f1df4c0087b2e_1779685987010] DOH3 handshake to https://doh.pub/dns-query failed. Error:QUIC Handshake Timeout
2026/05/25 13:13:12:051  [Warn]  [5c6282b038611b2821841c2fc0de33e3_1779685987008] DOQ handshake to quic://dns.pub failed. Error:QUIC Handshake Timeout
2026/05/25 13:13:14:943  [Warn]  [DOQ][0] Query gateway.icloud.com.cn from quic://dns.pub timeout.
2026/05/25 13:13:14:943  [Warn]  [DOQ][0] Query gateway.icloud.com.cn from quic://dns.alidns.com timeout.
2026/05/25 13:13:14:943  [Warn]  [DOH3] Query gateway.icloud.com.cn from https://doh.pub/dns-query timeout.
2026/05/25 13:13:44:170  [Warn]  [DOH3] Query inappcheck.itunes.apple.com from https://doh.pub/dns-query timeout.
2026/05/25 13:13:44:195  [Warn]  [DOH3] Query mg-1.yuanbaojc.site from https://doh.pub/dns-query timeout.
2026/05/25 13:13:44:198  [Warn]  [DOH3] Query mg2.yuanbaojc.site from https://doh.pub/dns-query timeout.
2026/05/25 13:13:44:198  [Warn]  [DOH3] Query mg1.yuanbaojc.site from https://doh.pub/dns-query timeout.
2026/05/25 13:13:44:198  [Warn]  [DOQ][0] Query mg00.yuanbaojc.site from quic://dns.alidns.com timeout.
2026/05/25 13:13:44:198  [Warn]  [DOH3] Query mg00.yuanbaojc.site from https://doh.pub/dns-query timeout.
2026/05/25 13:13:44:198  [Warn]  [DOQ][0] Query mg00.yuanbaojc.site from quic://dns.pub timeout.
2026/05/25 13:13:46:165  [Warn]  [046cc67baeda5d15db033f6d3dea2c94_1779686021164] DOQ handshake to quic://dns.alidns.com failed. Error:QUIC Handshake Timeout
2026/05/25 13:13:46:165  [Warn]  [5c6282b038611b2821841c2fc0de33e3_1779686021164] DOQ handshake to quic://dns.pub failed. Error:QUIC Handshake Timeout
2026/05/25 13:13:46:165  [Warn]  [a7714ee17e924849fa0f1df4c0087b2e_1779686021164] DOH3 handshake to https://doh.pub/dns-query failed. Error:QUIC Handshake Timeout
